;tweet;sentimen;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
0; Serius ada org yg benci buku?;0.0;serius ada org yg benci buku;['serius', 'ada', 'org', 'yg', 'benci', 'buku'];['serius', 'ada', 'orang', 'yang', 'benci', 'buku'];['serius', 'orang', 'benci', 'buku'];serius orang benci buku;serius orang benci buku
1; Anak satu ini emang g punya kemaluan kali ya... Spt itu koq dipamerkan dan dibanggakan. Dasar anak mulyono...adik fufufafa.;-1.0;anak satu ini emang punya kemaluan kali ya repeated spt itu koq dipamerkan dan dibanggakan dasar anak mulyono repeated adik fufufafa;['anak', 'satu', 'ini', 'emang', 'punya', 'kemaluan', 'kali', 'ya', 'repeated', 'spt', 'itu', 'koq', 'dipamerkan', 'dan', 'dibanggakan', 'dasar', 'anak', 'mulyono', 'repeated', 'adik', 'fufufafa'];['anak', 'satu', 'ini', 'memang', 'punya', 'kemaluan', 'kali', 'iya', 'repeated', 'seperti', 'itu', 'koq', 'dipamerkan', 'dan', 'dibanggakan', 'dasar', 'anak', 'mulyono', 'repeated', 'adik', 'fufufafa'];['anak', 'kemaluan', 'kali', 'iya', 'repeated', 'koq', 'dipamerkan', 'dibanggakan', 'dasar', 'anak', 'mulyono', 'repeated', 'adik', 'fufufafa'];anak kemaluan kali iya repeated koq dipamerkan dibanggakan dasar anak mulyono repeated adik fufufafa;anak malu kali iya repeated koq pamer bangga dasar anak mulyono repeated adik fufufafa
2;  Sip semoga lancar class action-nya kita dukung ;1.0;sip semoga lancar class action nya kita dukung;['sip', 'semoga', 'lancar', 'class', 'action', 'nya', 'kita', 'dukung'];['sip', 'semoga', 'lancar', 'class', 'action', 'nya', 'kita', 'dukung'];['sip', 'semoga', 'lancar', 'class', 'action', 'nya', 'dukung'];sip semoga lancar class action nya dukung;sip moga lancar class action nya dukung
3; Jangan bodohi orang...mana ada nelayan yang mau dengan sukarela membuat pakar bambu di laut... Jangan bodohi orang...!!!;-1.0;jangan bodohi orang repeated mana ada nelayan yang mau dengan sukarela membuat pakar bambu di laut repeated jangan bodohi orang repeated;['jangan', 'bodohi', 'orang', 'repeated', 'mana', 'ada', 'nelayan', 'yang', 'mau', 'dengan', 'sukarela', 'membuat', 'pakar', 'bambu', 'di', 'laut', 'repeated', 'jangan', 'bodohi', 'orang', 'repeated'];['jangan', 'bodohi', 'orang', 'repeated', 'mana', 'ada', 'nelayan', 'yang', 'mau', 'dengan', 'sukarela', 'membuat', 'pakar', 'bambu', 'di', 'laut', 'repeated', 'jangan', 'bodohi', 'orang', 'repeated'];['bodohi', 'orang', 'repeated', 'nelayan', 'sukarela', 'pakar', 'bambu', 'laut', 'repeated', 'bodohi', 'orang', 'repeated'];bodohi orang repeated nelayan sukarela pakar bambu laut repeated bodohi orang repeated;bodoh orang repeated nelayan sukarela pakar bambu laut repeated bodoh orang repeated
4;  ngetik yg bnerr fufufafa;-1.0;ngetik yg bnerr fufufafa;['ngetik', 'yg', 'bnerr', 'fufufafa'];['mengetik', 'yang', 'bnerr', 'fufufafa'];['mengetik', 'bnerr', 'fufufafa'];mengetik bnerr fufufafa;etik bnerr fufufafa
5;fufufafa login gibran serpihan hati kangen ggs https://t.co/GxRzE2kKrn https://t.co/8JSDFICOKg;1.0;fufufafa login gibran serpihan hati kangen ggs cogxrze2kkrn co8jsdficokg;['fufufafa', 'login', 'gibran', 'serpihan', 'hati', 'kangen', 'ggs', 'cogxrze2kkrn', 'co8jsdficokg'];['fufufafa', 'login', 'gibran', 'serpihan', 'hati', 'kangen', 'ggs', 'cogxrze2kkrn', 'co8jsdficokg'];['fufufafa', 'login', 'gibran', 'serpihan', 'hati', 'kangen', 'ggs', 'cogxrze2kkrn', 'co8jsdficokg'];fufufafa login gibran serpihan hati kangen ggs cogxrze2kkrn co8jsdficokg;fufufafa login gibran serpih hati kangen ggs cogxrze2kkrn co8jsdficokg
6;"    Orang kritik prog makan gratis malah suruh pindah sekolah &amp; nyewa apartemen kota. Bloon banget. Pantesan dpt wapres fufufafa ";-1.0;orang kritik prog makan gratis malah suruh pindah sekolah nyewa apartemen kota bloon banget pantesan dpt wapres fufufafa;['orang', 'kritik', 'prog', 'makan', 'gratis', 'malah', 'suruh', 'pindah', 'sekolah', 'nyewa', 'apartemen', 'kota', 'bloon', 'banget', 'pantesan', 'dpt', 'wapres', 'fufufafa'];['orang', 'kritik', 'prog', 'makan', 'gratis', 'malah', 'suruh', 'pindah', 'sekolah', 'nyewa', 'apartemen', 'kota', 'bloon', 'banget', 'pantesan', 'dapat ', 'wapres', 'fufufafa'];['orang', 'kritik', 'prog', 'makan', 'gratis', 'suruh', 'pindah', 'sekolah', 'nyewa', 'apartemen', 'kota', 'bloon', 'banget', 'pantesan', 'dapat ', 'wapres', 'fufufafa'];orang kritik prog makan gratis suruh pindah sekolah nyewa apartemen kota bloon banget pantesan dapat  wapres fufufafa;orang kritik prog makan gratis suruh pindah sekolah nyewa apartemen kota bloon banget pantesan dapat wapres fufufafa
7; Wah itu susu ne bikin fufufafa bloon makin bloon.....;-1.0;wah itu susu ne bikin fufufafa bloon makin bloon repeated;['wah', 'itu', 'susu', 'ne', 'bikin', 'fufufafa', 'bloon', 'makin', 'bloon', 'repeated'];['wah', 'itu', 'susu', 'ne', 'membuat', 'fufufafa', 'bloon', 'makin', 'bloon', 'repeated'];['susu', 'ne', 'fufufafa', 'bloon', 'bloon', 'repeated'];susu ne fufufafa bloon bloon repeated;susu ne fufufafa bloon bloon repeated
8;Melawan dengan apa coba? Adu Argumen? Di tik tok banyak banget typingan kek gini ;0.0;melawan dengan apa coba adu argumen di tik tok banyak banget typingan kek gini;['melawan', 'dengan', 'apa', 'coba', 'adu', 'argumen', 'di', 'tik', 'tok', 'banyak', 'banget', 'typingan', 'kek', 'gini'];['melawan', 'dengan', 'apa', 'coba', 'adu', 'argumen', 'di', 'tik', 'saja', 'banyak', 'banget', 'typingan', 'kayak', 'gini'];['melawan', 'coba', 'adu', 'argumen', 'tik', 'banget', 'typingan', 'kayak', 'gini'];melawan coba adu argumen tik banget typingan kayak gini;lawan coba adu argumen tik banget typingan kayak gin
9;   Wkwkwk emng dongo bgt ya wkwkwk;-1.0;wkwkwk emng dongo bgt ya wkwkwk;['wkwkwk', 'emng', 'dongo', 'bgt', 'ya', 'wkwkwk'];['wkwkwk', 'emng', 'dongo', 'banget', 'iya', 'wkwkwk'];['wkwkwk', 'emng', 'dongo', 'banget', 'iya', 'wkwkwk'];wkwkwk emng dongo banget iya wkwkwk;wkwkwk emng dongo banget iya wkwkwk
